country,date,ifr_t_m_voc_adjusted,ifr_t_m
Italy,2021-06-30,0.00628621657220422,0.00608223647258637
Italy,2021-07-01,0.00631643513397728,0.0060995223869499
Italy,2021-07-02,0.00635060527417938,0.00612102330781223
Italy,2021-07-03,0.00637883357202086,0.00613558638474133
Italy,2021-07-04,0.00639648893057613,0.00614013854526197
Italy,2021-07-05,0.00642485681089674,0.00615192663751099
Italy,2021-07-06,0.00645621715309011,0.00616622491736082
Italy,2021-07-07,0.00649464453116903,0.00618696632345593
Italy,2021-07-08,0.00654073761705179,0.00620384288149722
Italy,2021-07-09,0.00658669712178993,0.00622113141924933
Italy,2021-07-10,0.00662159832787024,0.00623217696424537
Italy,2021-07-11,0.0066494008955621,0.00623810939023925
Italy,2021-07-12,0.00668604186413478,0.00624755985611061
Italy,2021-07-13,0.00674330737854415,0.0062645401122216
Italy,2021-07-14,0.00678233820100016,0.00628621657220422
Italy,2021-07-15,0.00684376114674912,0.00631643513397728
Italy,2021-07-16,0.00691028725276641,0.00635060527417938
Italy,2021-07-17,0.00696104823198545,0.00637883357202086
Italy,2021-07-18,0.00698193968606353,0.00639648893057613
Italy,2021-07-19,0.00702239317109756,0.00642485681089674
Italy,2021-07-20,0.00707661768507652,0.00645621715309011
Italy,2021-07-21,0.00713001211745978,0.00649464453116903
Italy,2021-07-22,0.00718542923224484,0.00654073761705179
Italy,2021-07-23,0.00723452132281596,0.00658669712178993
Italy,2021-07-24,0.00726929877225635,0.00662159832787024
Italy,2021-07-25,0.00728421359006747,0.0066494008955621
Italy,2021-07-26,0.00731917511942839,0.00668604186413478
Italy,2021-07-27,0.00737016537593363,0.00674330737854415
Italy,2021-07-28,0.0074152966707811,0.00678233820100016
Italy,2021-07-29,0.00745730396032319,0.00684376114674912
Italy,2021-07-30,0.00749123560195088,0.00691028725276641
Italy,2021-07-31,0.00750806154892731,0.00696104823198545
Italy,2021-08-01,0.00750787762126374,0.00698193968606353
Italy,2021-08-02,0.00753108172781393,0.00702239317109756
Italy,2021-08-03,0.00755885831251571,0.00707661768507652
Italy,2021-08-04,0.00757879199238578,0.00713001211745978
Italy,2021-08-05,0.00759258678658749,0.00718542923224484
Italy,2021-08-06,0.00760222286605633,0.00723452132281596
Italy,2021-08-07,0.00760243765481504,0.00726929877225635
Italy,2021-08-08,0.00759242812182361,0.00728421359006747
Italy,2021-08-09,0.0075903882719825,0.00731917511942839
Italy,2021-08-10,0.00759231856200679,0.00737016537593363
Italy,2021-08-11,0.00759201450271834,0.0074152966707811
Italy,2021-08-12,0.00758675606458355,0.00745730396032319
Italy,2021-08-13,0.00758529606795906,0.00749123560195088
Italy,2021-08-14,0.007593045217127,0.00750806154892731
Italy,2021-08-15,0.00759463559331224,0.00750787762126374
Italy,2021-08-16,0.00759242731041671,0.00753108172781393
Italy,2021-08-17,0.00759103209362631,0.00755885831251571
Italy,2021-08-18,0.00758550524368161,0.00757879199238578
Italy,2021-08-19,0.00758064824548083,0.00759258678658749
Italy,2021-08-20,0.00757826162752483,0.00760222286605633
Italy,2021-08-21,0.00757594499144539,0.00760243765481504
Italy,2021-08-22,0.00757093247059255,0.00759242812182361
Italy,2021-08-23,0.00755749975272883,0.0075903882719825
Italy,2021-08-24,0.00754745465529059,0.00759231856200679
Italy,2021-08-25,0.00753786976915255,0.00759201450271834
Italy,2021-08-26,0.00752770608875317,0.00758675606458355
Italy,2021-08-27,0.0075201325951593,0.00758529606795906
Italy,2021-08-28,0.00751193813306185,0.007593045217127
Italy,2021-08-29,0.00750183955013428,0.00759463559331224
Italy,2021-08-30,0.00748363926953019,0.00759242731041671
Italy,2021-08-31,0.00746838415576335,0.00759103209362631
Italy,2021-09-01,0.0074567759561671,0.00758550524368161
Italy,2021-09-02,0.00744328089256033,0.00758064824548083
Italy,2021-09-03,0.00743109553896606,0.00757826162752483
Italy,2021-09-04,0.00742235346426828,0.00757594499144539
Italy,2021-09-05,0.00741257951497182,0.00757093247059255
Italy,2021-09-06,0.00739827185356772,0.00755749975272883
Italy,2021-09-07,0.00738579326417731,0.00754745465529059
Italy,2021-09-08,0.00737698138231366,0.00753786976915255
Italy,2021-09-09,0.00736638481056898,0.00752770608875317
Italy,2021-09-10,0.00735846548428587,0.0075201325951593
Italy,2021-09-11,0.00735245264220421,0.00751193813306185
Italy,2021-09-12,0.00734417637858079,0.00750183955013428
Italy,2021-09-13,0.00733633063263606,0.00748363926953019
Italy,2021-09-14,0.00732911219461331,0.00746838415576335
Italy,2021-09-15,0.00732366954260523,0.0074567759561671
Italy,2021-09-16,0.00731652771751155,0.00744328089256033
Italy,2021-09-17,0.00730819244827005,0.00743109553896606
Italy,2021-09-18,0.00729612866649804,0.00742235346426828
Italy,2021-09-19,0.00728575777326415,0.00741257951497182
Italy,2021-09-20,0.00727240593009354,0.00739827185356772
Italy,2021-09-21,0.00725779175639017,0.00738579326417731
Italy,2021-09-22,0.0072435239459482,0.00737698138231366
Italy,2021-09-23,0.00722786220596163,0.00736638481056898
Italy,2021-09-24,0.00721287236261081,0.00735846548428587
Italy,2021-09-25,0.00719892174142489,0.00735245264220421
Italy,2021-09-26,0.00718781572294192,0.00734417637858079
Italy,2021-09-27,0.00717371107300512,0.00733633063263606
Italy,2021-09-28,0.00715989748102705,0.00732911219461331
Italy,2021-09-29,0.0071478481319087,0.00732366954260523
Italy,2021-09-30,0.00713249814715653,0.00731652771751155
Italy,2021-10-01,0.0071251735560249,0.00730819244827005
Italy,2021-10-02,0.00711737712391184,0.00729612866649804
Italy,2021-10-03,0.00711107802654669,0.00728575777326415
Italy,2021-10-04,0.00710305750094536,0.00727240593009354
Italy,2021-10-05,0.00709426506429318,0.00725779175639017
Italy,2021-10-06,0.00708696714953195,0.0072435239459482
Italy,2021-10-07,0.00707673650947401,0.00722786220596163
Italy,2021-10-08,0.00706834149760141,0.00721287236261081
Italy,2021-10-09,0.00706127662631327,0.00719892174142489
Italy,2021-10-10,0.00705592069874074,0.00718781572294192
Italy,2021-10-11,0.00704681849876104,0.00717371107300512
Italy,2021-10-12,0.00703643178220924,0.00715989748102705
Italy,2021-10-13,0.00702645925503899,0.0071478481319087
Italy,2021-10-14,0.00701218451263909,0.00713249814715653
Italy,2021-10-15,0.00700079664226855,0.0071251735560249
Italy,2021-10-16,0.00699310620395763,0.00711737712391184
Italy,2021-10-17,0.00698698483888678,0.00711107802654669
Italy,2021-10-18,0.00697954411122189,0.00710305750094536
Italy,2021-10-19,0.00697324755642043,0.00709426506429318
Italy,2021-10-20,0.0069691094050795,0.00708696714953195
Italy,2021-10-21,0.00696406513874037,0.00707673650947401
Italy,2021-10-22,0.00696107215854824,0.00706834149760141
Italy,2021-10-23,0.00695963927798881,0.00706127662631327
Italy,2021-10-24,0.00695744785950706,0.00705592069874074
Italy,2021-10-25,0.00695506815817961,0.00704681849876104
Italy,2021-10-26,0.0069524802732219,0.00703643178220924
Italy,2021-10-27,0.00695103555963498,0.00702645925503899
Italy,2021-10-28,0.00694848993382814,0.00701218451263909
Italy,2021-10-29,0.00694754794648128,0.00700079664226855
Italy,2021-10-30,0.00694654866393223,0.00699310620395763
Italy,2021-10-31,0.00694511511818341,0.00698698483888678
Italy,2021-11-01,0.00694509513124423,0.00697954411122189
Italy,2021-11-02,0.00694441315682497,0.00697324755642043
Italy,2021-11-03,0.00694403689184384,0.0069691094050795
Italy,2021-11-04,0.00694224343714925,0.00696406513874037
Italy,2021-11-05,0.00694162354409963,0.00696107215854824
Italy,2021-11-06,0.00694081475572389,0.00695963927798881
Italy,2021-11-07,0.00693946142885744,0.00695744785950706
