,day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
30,29-30,0.016458344429766,0.016458344429766,0.016458344429766,0.016458344429766,0.016458344429766,0.016458344429766,0.016458344429766
31,30-31,0.014432845307064,0.014432845307064,0.014432845307064,0.014432845307064,0.014432845307064,0.014432845307064,0.014432845307064
32,31-32,0.012603088254503,0.012603088254503,0.012603088254503,0.012603088254503,0.012603088254503,0.012603088254503,0.012603088254503
33,32-33,0.010961658815021,0.010961658815021,0.010961658815021,0.010961658815021,0.010961658815021,0.010961658815021,0.010961658815021
34,33-34,0.009498487945823,0.009498487945823,0.009498487945823,0.009498487945823,0.009498487945823,0.009498487945823,0.009498487945823
35,34-35,0.008201757859114,0.008201757859114,0.008201757859114,0.008201757859114,0.008201757859114,0.008201757859114,0.008201757859114
36,35-36,0.007058637620089,0.007058637620089,0.007058637620089,0.007058637620089,0.007058637620089,0.007058637620089,0.007058637620089
37,36-37,0.006055865775959,0.006055865775959,0.006055865775959,0.006055865775959,0.006055865775959,0.006055865775959,0.006055865775959
38,37-38,0.005180199198634,0.005180199198634,0.005180199198634,0.005180199198634,0.005180199198634,0.005180199198634,0.005180199198634
39,38-39,0.004418747643635,0.004418747643635,0.004418747643635,0.004418747643635,0.004418747643635,0.004418747643635,0.004418747643635
40,39-40,0.003759212774477,0.003759212774477,0.003759212774477,0.003759212774477,0.003759212774477,0.003759212774477,0.003759212774477
41,40-41,0.003190048973737,0.003190048973737,0.003190048973737,0.003190048973737,0.003190048973737,0.003190048973737,0.003190048973737
42,41-42,0.002700561458192,0.002700561458192,0.002700561458192,0.002700561458192,0.002700561458192,0.002700561458192,0.002700561458192
43,42-43,0.002280955252741,0.002280955252741,0.002280955252741,0.002280955252741,0.002280955252741,0.002280955252741,0.002280955252741
44,43-44,0.001922346607328,0.001922346607328,0.001922346607328,0.001922346607328,0.001922346607328,0.001922346607328,0.001922346607328
45,44-45,0.001616746562789,0.001616746562789,0.001616746562789,0.001616746562789,0.001616746562789,0.001616746562789,0.001616746562789
46,45-46,0.001357024646438,0.001357024646438,0.001357024646438,0.001357024646438,0.001357024646438,0.001357024646438,0.001357024646438
47,46-47,0.00113685913891,0.00113685913891,0.00113685913891,0.00113685913891,0.00113685913891,0.00113685913891,0.00113685913891
48,47-48,0.00095067901226,0.00095067901226,0.00095067901226,0.00095067901226,0.00095067901226,0.00095067901226,0.00095067901226
49,48-49,0.000793601493878,0.000793601493878,0.000793601493878,0.000793601493878,0.000793601493878,0.000793601493878,0.000793601493878
50,49-50,0.000661368250446,0.000661368250446,0.000661368250446,0.000661368250446,0.000661368250446,0.000661368250446,0.000661368250446
51,50-51,0.000550282394814,0.000550282394814,0.000550282394814,0.000550282394814,0.000550282394814,0.000550282394814,0.000550282394814
52,51-52,0.000457147877423,0.000457147877423,0.000457147877423,0.000457147877423,0.000457147877423,0.000457147877423,0.000457147877423
53,52-53,0.000379212313011,0.000379212313011,0.000379212313011,0.000379212313011,0.000379212313011,0.000379212313011,0.000379212313011
54,53-54,0.000314113893647,0.000314113893647,0.000314113893647,0.000314113893647,0.000314113893647,0.000314113893647,0.000314113893647
55,54-55,0.000259832732583,0.000259832732583,0.000259832732583,0.000259832732583,0.000259832732583,0.000259832732583,0.000259832732583
56,55-56,0.000214646753623,0.000214646753623,0.000214646753623,0.000214646753623,0.000214646753623,0.000214646753623,0.000214646753623
57,56-57,0.000177092073422,0.000177092073422,0.000177092073422,0.000177092073422,0.000177092073422,0.000177092073422,0.000177092073422
58,57-58,0.000145927706583,0.000145927706583,0.000145927706583,0.000145927706583,0.000145927706583,0.000145927706583,0.000145927706583
59,58-59,0.000120104345298,0.000120104345298,0.000120104345298,0.000120104345298,0.000120104345298,0.000120104345298,0.000120104345298
60,59-60,9.87369173844899E-05,9.87369173844899E-05,9.87369173844899E-05,9.87369173844899E-05,9.87369173844899E-05,9.87369173844899E-05,9.87369173844899E-05
61,60-61,8.10806018262111E-05,8.10806018262111E-05,8.10806018262111E-05,8.10806018262111E-05,8.10806018262111E-05,8.10806018262111E-05,8.10806018262111E-05
62,61-62,6.65099731688157E-05,6.65099731688157E-05,6.65099731688157E-05,6.65099731688157E-05,6.65099731688157E-05,6.65099731688157E-05,6.65099731688157E-05
63,62-63,5.45009507204597E-05,5.45009507204597E-05,5.45009507204597E-05,5.45009507204597E-05,5.45009507204597E-05,5.45009507204597E-05,5.45009507204597E-05
64,63-64,4.46152415651824E-05,4.46152415651824E-05,4.46152415651824E-05,4.46152415651824E-05,4.46152415651824E-05,4.46152415651824E-05,4.46152415651824E-05
65,64-65,3.64869850771887E-05,3.64869850771887E-05,3.64869850771887E-05,3.64869850771887E-05,3.64869850771887E-05,3.64869850771887E-05,3.64869850771887E-05
66,65-66,2.98113285994717E-05,2.98113285994717E-05,2.98113285994717E-05,2.98113285994717E-05,2.98113285994717E-05,2.98113285994717E-05,2.98113285994717E-05
67,66-67,2.4334687596772E-05,2.4334687596772E-05,2.4334687596772E-05,2.4334687596772E-05,2.4334687596772E-05,2.4334687596772E-05,2.4334687596772E-05
68,67-68,1.98464676310905E-05,1.98464676310905E-05,1.98464676310905E-05,1.98464676310905E-05,1.98464676310905E-05,1.98464676310905E-05,1.98464676310905E-05
69,68-69,1.61720490997608E-05,1.61720490997608E-05,1.61720490997608E-05,1.61720490997608E-05,1.61720490997608E-05,1.61720490997608E-05,1.61720490997608E-05
70,69-70,1.31668581874189E-05,1.31668581874189E-05,1.31668581874189E-05,1.31668581874189E-05,1.31668581874189E-05,1.31668581874189E-05,1.31668581874189E-05
71,70-71,1.07113685769988E-05,1.07113685769988E-05,1.07113685769988E-05,1.07113685769988E-05,1.07113685769988E-05,1.07113685769988E-05,1.07113685769988E-05
