,day,serial_interval
292,291-292,0
293,292-293,0
294,293-294,0
295,294-295,0
296,295-296,0
297,296-297,0
298,297-298,0
299,298-299,0
300,299-300,0
301,300-301,0
302,301-302,0
303,302-303,0
304,303-304,0
305,304-305,0
306,305-306,0
307,306-307,0
308,307-308,0
309,308-309,0
310,309-310,0
311,310-311,0
312,311-312,0
313,312-313,0
314,313-314,0
315,314-315,0
316,315-316,0
317,316-317,0
318,317-318,0
319,318-319,0
320,319-320,0
321,320-321,0
322,321-322,0
323,322-323,0
324,323-324,0
325,324-325,0
326,325-326,0
327,326-327,0
328,327-328,0
329,328-329,0
330,329-330,0
331,330-331,0
332,331-332,0
333,332-333,0
334,333-334,0
335,334-335,0
336,335-336,0
337,336-337,0
338,337-338,0
339,338-339,0
340,339-340,0
341,340-341,0
342,341-342,0
343,342-343,0
344,343-344,0
345,344-345,0
346,345-346,0
347,346-347,0
348,347-348,0
349,348-349,0
350,349-350,0
351,350-351,0
352,351-352,0
353,352-353,0
354,353-354,0
355,354-355,0
356,355-356,0
357,356-357,0
358,357-358,0
359,358-359,0
360,359-360,0
361,360-361,0
362,361-362,0
363,362-363,0
364,363-364,0
365,364-365,0
366,365-366,0
367,366-367,0
368,367-368,0
369,368-369,0
370,369-370,0
371,370-371,0
372,371-372,0
373,372-373,0
374,373-374,0
375,374-375,0
376,375-376,0
377,376-377,0
378,377-378,0
379,378-379,0
380,379-380,0
381,380-381,0
382,381-382,0
383,382-383,0
384,383-384,0
385,384-385,0
386,385-386,0
387,386-387,0
388,387-388,0
389,388-389,0
390,389-390,0
391,390-391,0
392,391-392,0
393,392-393,0
394,393-394,0
395,394-395,0
396,395-396,0
397,396-397,0
398,396-398,0
399,396-399,0
400,396-400,0
401,396-401,0
402,396-402,0
403,396-403,0
404,396-404,0
405,396-405,0
406,396-406,0
407,396-407,0
408,396-408,0
409,396-409,0
410,396-410,0
411,396-411,0
412,396-412,0
413,396-413,0
414,396-414,0
415,396-415,0
416,396-416,0
417,396-417,0
418,396-418,0
419,396-419,0
420,396-420,0
421,396-421,0
422,396-422,0
423,396-423,0
424,396-424,0
425,396-425,0
426,396-426,0
427,396-427,0
428,396-428,0
429,396-429,0
430,396-430,0
431,396-431,0
432,396-432,0
433,396-433,0
434,396-434,0
435,396-435,0
436,396-436,0
437,396-437,0
438,396-438,0
439,396-439,0
440,396-440,0
441,396-441,0
442,396-442,0
443,396-443,0
444,396-444,0
445,396-445,0
446,396-446,0
447,396-447,0
448,396-448,0
449,396-449,0
450,396-450,0
451,396-451,0
452,396-452,0
453,396-453,0
454,396-454,0
455,396-455,0
456,396-456,0
457,396-457,0
458,396-458,0
459,396-459,0
460,396-460,0
461,396-461,0
462,396-462,0
463,396-463,0
464,396-464,0
465,396-465,0
466,396-466,0
467,396-467,0
468,396-468,0
469,396-469,0
470,396-470,0
471,396-471,0
472,396-472,0
473,396-473,0
474,396-474,0
475,396-475,0
476,396-476,0
477,396-477,0
478,396-478,0
479,396-479,0
480,396-480,0
481,396-481,0
482,396-482,0
483,396-483,0
484,396-484,0
485,396-485,0
486,396-486,0
487,396-487,0
488,396-488,0
489,396-489,0
490,396-490,0
491,396-491,0
492,396-492,0
493,396-493,0
494,396-494,0
495,396-495,0
496,396-496,0
497,396-497,0
498,396-498,0
499,396-499,0
500,396-500,0
501,396-501,0
502,396-502,0
503,396-503,0
504,396-504,0
505,396-505,0
506,396-506,0
507,396-507,0
508,396-508,0
509,396-509,0
510,396-510,0
511,396-511,0
512,396-512,0
513,396-513,0
514,396-514,0
515,396-515,0
516,396-516,0
517,396-517,0
518,396-518,0
519,396-519,0
520,396-520,0
521,396-521,0
522,396-522,0
523,396-523,0
524,396-524,0
525,396-525,0
526,396-526,0
527,396-527,0
528,396-528,0
529,396-529,0
530,396-530,0
531,396-531,0
532,396-532,0
533,396-533,0
534,396-534,0
535,396-535,0
536,396-536,0
537,396-537,0
538,396-538,0
539,396-539,0
540,396-540,0
541,396-541,0
542,396-542,0
543,396-543,0
544,396-544,0
545,396-545,0
546,396-546,0
547,396-547,0
548,396-548,0
549,396-549,0
550,396-550,0
551,396-551,0
552,396-552,0
553,396-553,0
554,396-554,0
555,396-555,0
556,396-556,0
557,396-557,0
558,396-558,0
559,396-559,0
560,396-560,0
561,396-561,0
562,396-562,0
563,396-563,0
564,396-564,0
565,396-565,0
566,396-566,0
567,396-567,0
568,396-568,0
569,396-569,0
570,396-570,0
571,396-571,0
572,396-572,0
573,396-573,0
574,396-574,0
575,396-575,0
576,396-576,0
577,396-577,0
578,396-578,0
579,396-579,0
580,396-580,0
581,396-581,0
582,396-582,0
583,396-583,0
584,396-584,0
585,396-585,0
586,396-586,0
587,396-587,0
588,396-588,0
589,396-589,0
590,396-590,0
591,396-591,0
592,396-592,0
593,396-593,0
594,396-594,0
595,396-595,0
596,396-596,0
597,396-597,0
598,396-598,0
599,396-599,0
600,396-600,0
601,396-601,0
602,396-602,0
603,396-603,0
604,396-604,0
605,396-605,0
606,396-606,0
607,396-607,0
608,396-608,0
609,396-609,0
610,396-610,0
611,396-611,0
612,396-612,0
613,396-613,0
614,396-614,0
615,396-615,0
616,396-616,0
617,396-617,0
618,396-618,0
619,396-619,0
620,396-620,0
621,396-621,0
622,396-622,0
623,396-623,0
624,396-624,0
625,396-625,0
626,396-626,0
627,396-627,0
628,396-628,0
629,396-629,0
630,396-630,0
631,396-631,0
