country,date,proportion_alpha,proportion_delta,proportion_original
Germany,2021-03-25,0.866451637843129,6.29757159521441e-05,0.133485386440919
Germany,2021-03-26,0.873178732288333,7.028119172629e-05,0.126750986519941
Germany,2021-03-27,0.879614050963226,7.84340701729057e-05,0.120307514966602
Germany,2021-03-28,0.885765541946349,8.75326299131944e-05,0.114146925423737
Germany,2021-03-29,0.891641425395412,9.76865435534982e-05,0.108260888061034
Germany,2021-03-30,0.897250130722147,0.000109018197670044,0.102640851080183
Germany,2021-03-31,0.902600238507711,0.000121664165471614,0.0972780973268175
Germany,2021-04-01,0.907700427186154,0.000135776849740585,0.0921637959641054
Germany,2021-04-02,0.912559424458457,0.000151526315667162,0.0872890492258756
Germany,2021-04-03,0.917185963344757,0.000169102335432977,0.0826449343198096
Germany,2021-04-04,0.921588742737033,0.000188716668893188,0.0782225405940736
Germany,2021-04-05,0.925776392278094,0.000210605607478001,0.0740130021144278
Germany,2021-04-06,0.929757441364415,0.000235032811514824,0.0700075258240699
Germany,2021-04-07,0.933540292049375,0.000262292474593842,0.0661974154760307
Germany,2021-04-08,0.937133195608977,0.00029271285239814,0.0625740915386244
Germany,2021-04-09,0.940544232523309,0.000326660197633482,0.0591291072790572
Germany,2021-04-10,0.943781295623064,0.000364543147364661,0.0558541612295719
Germany,2021-04-11,0.946852076150601,0.000406817614240318,0.0527411062351583
Germany,2021-04-12,0.94976405248865,0.000453992238815433,0.0497819552725344
Germany,2021-04-13,0.952524481316072,0.000506634466512514,0.0469688842174153
Germany,2021-04-14,0.955140390958723,0.000565377319754526,0.0442942317215229
Germany,2021-04-15,0.95761857671364,0.000630926943513309,0.0417504963428469
Germany,2021-04-16,0.959965597936297,0.000704071011007602,0.0393303310526949
Germany,2021-04-17,0.96218777669295,0.000785688085617293,0.0370265352214325
Germany,2021-04-18,0.964291197792928,0.000876758045318667,0.0348320441617533
Germany,2021-04-19,0.96628171002878,0.000978373687151039,0.0327399162840687
Germany,2021-04-20,0.968164928465204,0.00109175364145797,0.0307433178933383
Germany,2021-04-21,0.969946237630547,0.00121825673895931,0.028835505630494
Germany,2021-04-22,0.971630795477171,0.00135939798814823,0.0270098065346805
Germany,2021-04-23,0.973223537989019,0.00151686633609977,0.025259595674881
Germany,2021-04-24,0.974729184326213,0.0016925444025344,0.0235782712712527
Germany,2021-04-25,0.976152242407427,0.00188853039488443,0.0219592271976889
Germany,2021-04-26,0.977497014841018,0.00210716243110547,0.0203958227278764
Germany,2021-04-27,0.97876760512548,0.00235104551695653,0.0188813493575638
Germany,2021-04-28,0.979967924048693,0.00262308144526696,0.0174089945060399
Germany,2021-04-29,0.981101696223689,0.00292650190606341,0.0159718018702474
Germany,2021-04-30,0.982172466706202,0.00326490511797846,0.0145626281758193
Germany,2021-05-01,0.983183607646246,0.0036422963126051,0.0131740960411484
Germany,2021-05-02,0.984138324932259,0.00406313242372126,0.0117985426440194
Germany,2021-05-03,0.985039664792114,0.00453237135169551,0.0104279638561907
Germany,2021-05-04,0.985890520320483,0.00505552618873804,0.00905395349077899
Germany,2021-05-05,0.986693637906732,0.00563872480149003,0.00766763729177771
Germany,2021-05-06,0.987451623541698,0.00628877517185387,0.00625960128644811
Germany,2021-05-07,0.988166948985475,0.00701323689257177,0.00481981412195327
Germany,2021-05-08,0.988841957781664,0.00782049919788678,0.00333754302044927
Germany,2021-05-09,0.989478871106502,0.00871986587799083,0.00180126301550715
Germany,2021-05-10,0.990079793443898,0.0097216473743763,0.000198559181725958
Germany,2021-05-11,0.989162739723808,0.0108372602761923,-1.90819582357449e-17
Germany,2021-05-12,0.987920665671307,0.012079334328693,-1.21430643318377e-17
Germany,2021-05-13,0.986538173083966,0.0134618269160344,1.73472347597681e-17
Germany,2021-05-14,0.984999855217165,0.015000144782835,-5.55111512312578e-17
Germany,2021-05-15,0.98328872749858,0.0167112725014197,-5.20417042793042e-17
Germany,2021-05-16,0.981386093137661,0.0186139068623387,-2.42861286636753e-17
Germany,2021-05-17,0.979271404048981,0.0207285959510189,3.81639164714898e-17
Germany,2021-05-18,0.976922118841593,0.0230778811584067,-1.04083408558608e-17
Germany,2021-05-19,0.97431356025745,0.0256864397425497,1.04083408558608e-17
Germany,2021-05-20,0.971418775204531,0.0285812247954689,-4.85722573273506e-17
Germany,2021-05-21,0.968208401439386,0.0317915985606138,4.85722573273506e-17
Germany,2021-05-22,0.964650546021486,0.0353494539785141,1.38777878078145e-17
Germany,2021-05-23,0.960710681895288,0.0392893181047118,3.46944695195361e-17
Germany,2021-05-24,0.956351570354577,0.0436484296454233,2.77555756156289e-17
Germany,2021-05-25,0.951533218694557,0.0484667813054429,1.38777878078145e-17
Germany,2021-05-26,0.946212884030591,0.0537871159694087,-4.85722573273506e-17
Germany,2021-05-27,0.940345136005259,0.0596548639947405,6.93889390390723e-18
Germany,2021-05-28,0.933881992834568,0.0661180071654317,2.77555756156289e-17
Germany,2021-05-29,0.926773146738895,0.073226853261105,-1.38777878078145e-17
Germany,2021-05-30,0.918966296099288,0.0810337039007122,1.38777878078145e-17
Germany,2021-05-31,0.910407602459167,0.089592397540833,-2.77555756156289e-17
Germany,2021-06-01,0.901042290486333,0.0989577095136667,-1.38777878078145e-17
Germany,2021-06-02,0.890815407901468,0.109184592098533,-1.38777878078145e-17
Germany,2021-06-03,0.87967275980924,0.12032724019076,-1.38777878078145e-17
Germany,2021-06-04,0.867562027463491,0.132437972536509,2.77555756156289e-17
Germany,2021-06-05,0.85443407490788,0.14556592509212,-5.55111512312578e-17
Germany,2021-06-06,0.840244437884645,0.159755562115355,0
Germany,2021-06-07,0.82495497777311,0.17504502222689,-2.77555756156289e-17
Germany,2021-06-08,0.808535669218193,0.191464330781807,-2.77555756156289e-17
Germany,2021-06-09,0.790966473975369,0.209033526024631,-2.77555756156289e-17
Germany,2021-06-10,0.772239236177478,0.227760763822522,0
Germany,2021-06-11,0.75235951702217,0.24764048297783,-5.55111512312578e-17
Germany,2021-06-12,0.731348271538771,0.268651728461229,-5.55111512312578e-17
Germany,2021-06-13,0.709243258733292,0.290756741266708,5.55111512312578e-17
Germany,2021-06-14,0.6861000713149,0.3138999286851,0
Germany,2021-06-15,0.661992674538961,0.338007325461039,5.55111512312578e-17
