country,date,ifr_t_m_voc_adjusted,ifr_t_m
Slovenia,2022-01-10,0.00567688503177454,0.00567047843305446
Slovenia,2022-01-11,0.00567644459583252,0.00567008707048249
Slovenia,2022-01-12,0.00567975689027243,0.00567122009179051
Slovenia,2022-01-13,0.00567589172616547,0.00567067870233852
Slovenia,2022-01-14,0.0056737036411012,0.00567111916226764
Slovenia,2022-01-15,0.0056745234748588,0.00567124017777414
Slovenia,2022-01-16,0.00567580865512786,0.00567185492411923
Slovenia,2022-01-17,0.00567649464874459,0.00567186493577106
Slovenia,2022-01-18,0.00567618730675238,0.00567131713667015
Slovenia,2022-01-19,0.00567874906415874,0.00567304712650164
Slovenia,2022-01-20,0.00567749969108482,0.00567017483931716
Slovenia,2022-01-21,0.00567727649151046,0.0056702769874466
Slovenia,2022-01-22,0.00568020960797877,0.00567460172378317
Slovenia,2022-01-23,0.00568097193551017,0.00567639283860193
Slovenia,2022-01-24,0.00568141364384266,0.00567688503177454
Slovenia,2022-01-25,0.0056810669178778,0.00567644459583252
Slovenia,2022-01-26,0.0056823020833323,0.00567975689027243
Slovenia,2022-01-27,0.00568143105135318,0.00567589172616547
Slovenia,2022-01-28,0.00568135452945531,0.0056737036411012
Slovenia,2022-01-29,0.00568322720047381,0.0056745234748588
Slovenia,2022-01-30,0.00568372262427653,0.00567580865512786
Slovenia,2022-01-31,0.00568393628701246,0.00567649464874459
Slovenia,2022-02-01,0.00568373473345737,0.00567618730675238
Slovenia,2022-02-02,0.0056843775908202,0.00567874906415874
Slovenia,2022-02-03,0.00568358118074108,0.00567749969108482
Slovenia,2022-02-04,0.00568322486652859,0.00567727649151046
Slovenia,2022-02-05,0.00568433349716958,0.00568020960797877
Slovenia,2022-02-06,0.0056846252139343,0.00568097193551017
Slovenia,2022-02-07,0.00568466798287156,0.00568141364384266
Slovenia,2022-02-08,0.00568540167767359,0.0056810669178778
Slovenia,2022-02-09,0.00568557361501217,0.0056823020833323
Slovenia,2022-02-10,0.00568455403106396,0.00568143105135318
Slovenia,2022-02-11,0.0056842817880116,0.00568135452945531
