,day,incubation_period
251,250-251,0
252,251-252,0
253,252-253,0
254,253-254,0
255,254-255,0
256,255-256,0
257,256-257,0
258,257-258,0
259,258-259,0
260,259-260,0
261,260-261,0
262,261-262,0
263,262-263,0
264,263-264,0
265,264-265,0
266,265-266,0
267,266-267,0
268,267-268,0
269,268-269,0
270,269-270,0
271,270-271,0
272,271-272,0
273,272-273,0
274,273-274,0
275,274-275,0
276,275-276,0
277,276-277,0
278,277-278,0
279,278-279,0
280,279-280,0
281,280-281,0
282,281-282,0
283,282-283,0
284,283-284,0
285,284-285,0
286,285-286,0
287,286-287,0
288,287-288,0
289,288-289,0
290,289-290,0
291,290-291,0
292,291-292,0
293,292-293,0
294,293-294,0
295,294-295,0
296,295-296,0
297,296-297,0
298,297-298,0
299,298-299,0
300,299-300,0
301,300-301,0
302,301-302,0
303,302-303,0
304,303-304,0
305,304-305,0
306,305-306,0
307,306-307,0
308,307-308,0
309,308-309,0
310,309-310,0
311,310-311,0
312,311-312,0
313,312-313,0
314,313-314,0
315,314-315,0
316,315-316,0
317,316-317,0
318,317-318,0
319,318-319,0
320,319-320,0
321,320-321,0
322,321-322,0
323,322-323,0
324,323-324,0
325,324-325,0
326,325-326,0
327,326-327,0
328,327-328,0
329,328-329,0
330,329-330,0
331,330-331,0
332,331-332,0
333,332-333,0
334,333-334,0
335,334-335,0
336,335-336,0
337,336-337,0
338,337-338,0
339,338-339,0
340,339-340,0
341,340-341,0
342,341-342,0
343,342-343,0
344,343-344,0
345,344-345,0
346,345-346,0
347,346-347,0
348,347-348,0
349,348-349,0
350,349-350,0
351,350-351,0
352,351-352,0
353,352-353,0
354,353-354,0
355,354-355,0
356,355-356,0
357,356-357,0
358,357-358,0
359,358-359,0
360,359-360,0
361,360-361,0
362,361-362,0
363,362-363,0
364,363-364,0
365,364-365,0
366,365-366,0
367,366-367,0
368,367-368,0
369,368-369,0
370,369-370,0
371,370-371,0
372,371-372,0
373,372-373,0
374,373-374,0
375,374-375,0
376,375-376,0
377,376-377,0
378,377-378,0
379,378-379,0
380,379-380,0
381,380-381,0
382,381-382,0
383,382-383,0
384,383-384,0
385,384-385,0
386,385-386,0
387,386-387,0
388,387-388,0
389,388-389,0
390,389-390,0
391,390-391,0
392,391-392,0
393,392-393,0
394,393-394,0
395,394-395,0
396,395-396,0
397,396-397,0
398,397-398,0
399,398-399,0
400,399-400,0
401,399-401,0
402,399-402,0
403,399-403,0
404,399-404,0
405,399-405,0
406,399-406,0
407,399-407,0
408,399-408,0
409,399-409,0
410,399-410,0
411,399-411,0
412,399-412,0
413,399-413,0
414,399-414,0
415,399-415,0
416,399-416,0
417,399-417,0
418,399-418,0
419,399-419,0
420,399-420,0
421,399-421,0
422,399-422,0
423,399-423,0
424,399-424,0
425,399-425,0
426,399-426,0
427,399-427,0
428,399-428,0
429,399-429,0
430,399-430,0
431,399-431,0
432,399-432,0
433,399-433,0
434,399-434,0
435,399-435,0
436,399-436,0
437,399-437,0
438,399-438,0
439,399-439,0
440,399-440,0
441,399-441,0
442,399-442,0
443,399-443,0
444,399-444,0
445,399-445,0
446,399-446,0
447,399-447,0
448,399-448,0
449,399-449,0
450,399-450,0
451,399-451,0
452,399-452,0
453,399-453,0
454,399-454,0
455,399-455,0
456,399-456,0
457,399-457,0
458,399-458,0
459,399-459,0
460,399-460,0
461,399-461,0
462,399-462,0
463,399-463,0
464,399-464,0
465,399-465,0
466,399-466,0
467,399-467,0
468,399-468,0
469,399-469,0
470,399-470,0
471,399-471,0
472,399-472,0
473,399-473,0
474,399-474,0
475,399-475,0
476,399-476,0
477,399-477,0
478,399-478,0
479,399-479,0
480,399-480,0
481,399-481,0
482,399-482,0
483,399-483,0
484,399-484,0
485,399-485,0
486,399-486,0
487,399-487,0
488,399-488,0
489,399-489,0
490,399-490,0
491,399-491,0
492,399-492,0
493,399-493,0
494,399-494,0
495,399-495,0
496,399-496,0
497,399-497,0
498,399-498,0
499,399-499,0
500,399-500,0
501,399-501,0
502,399-502,0
503,399-503,0
504,399-504,0
505,399-505,0
506,399-506,0
507,399-507,0
508,399-508,0
509,399-509,0
510,399-510,0
511,399-511,0
512,399-512,0
513,399-513,0
514,399-514,0
515,399-515,0
516,399-516,0
517,399-517,0
518,399-518,0
519,399-519,0
520,399-520,0
521,399-521,0
522,399-522,0
523,399-523,0
524,399-524,0
525,399-525,0
526,399-526,0
527,399-527,0
528,399-528,0
529,399-529,0
530,399-530,0
531,399-531,0
532,399-532,0
533,399-533,0
534,399-534,0
535,399-535,0
536,399-536,0
537,399-537,0
538,399-538,0
539,399-539,0
540,399-540,0
541,399-541,0
542,399-542,0
543,399-543,0
544,399-544,0
545,399-545,0
546,399-546,0
547,399-547,0
548,399-548,0
549,399-549,0
550,399-550,0
551,399-551,0
552,399-552,0
553,399-553,0
554,399-554,0
555,399-555,0
556,399-556,0
557,399-557,0
558,399-558,0
559,399-559,0
560,399-560,0
561,399-561,0
562,399-562,0
563,399-563,0
564,399-564,0
565,399-565,0
566,399-566,0
567,399-567,0
568,399-568,0
569,399-569,0
570,399-570,0
571,399-571,0
572,399-572,0
573,399-573,0
574,399-574,0
575,399-575,0
576,399-576,0
577,399-577,0
578,399-578,0
579,399-579,0
580,399-580,0
581,399-581,0
582,399-582,0
583,399-583,0
584,399-584,0
585,399-585,0
586,399-586,0
587,399-587,0
588,399-588,0
589,399-589,0
590,399-590,0
591,399-591,0
592,399-592,0
593,399-593,0
594,399-594,0
595,399-595,0
596,399-596,0
